super_opeid,name,czname,state,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,region,female,k_married,par_mean,par_rank,k_mean,k_median_nozero,k_0inc,k_q1,k_q5,k_top1pc,tier_name,type,iclevel,public,barrons,sat_avg_2013,sat_avg_2001,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,scorecard_netprice_2013,scorecard_rej_rate_2013,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000
7988,Martin Community College,Washington,NC,37700,22200,36.277641,0.018411182,3.5162964,0.022107078,1.2756294,0.008019926,-12.900458,-0.83018106,103.3333333333333,South,0.66129035,0.36681938,51348.22933467742,0.383166752034618,23966.72174269153,25000,0.1611598,0.17916328,0.066243127,0.00052695,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,2238.0,918.0,0.0797101449275362,4318.0,,0.0015015015,0.52402401,0.0030030031,0.0
3328,West Chester University Of Pennsylvania,Philadelphia,PA,102700,47500,4.2028327,1.0467319,30.296284,0.82857621,1.2733021,0.034823671,-0.91816765,-4.3407989,1921.333333333333,Northeast,0.61328936,0.60739905,122582.7564787908,0.698635974437474,50830.7919915098,50200,0.082474239,0.090811253,0.36745709,0.012021516,Selective public,public,4-year,public,4 - Selective,1075.0,1045.0,9144.0,4630.0,0.6864450127877237,16581.0,0.4844,0.017628826,0.078167379,0.017919412,0.0035838822
2559,Peru State College,Nebraska City,NE,64600,36000,9.5110502,0.37761885,13.374622,0.0,1.2720671,0.0,-0.47119501,-5.3265972,160.3333333333333,Midwest,0.48232847,0.63694978,72868.46015787421,0.5235929875760466,40008.80410278067,38200,0.07409656,0.086716302,0.20786604,0.003948662,Selective public,public,4-year,public,5 - Selective,,,5922.0,2379.0,0.4010152284263959,10158.0,,0.0040677967,0.022372881,0.012881356,0.010847458
71,University Of Nebraska System,Lincoln,NE,89400,45200,4.4165568,1.22106,28.800873,0.92413777,1.2720068,0.04081507,-0.27462351,-3.2697759,5828.666666666667,Midwest,0.51738536,0.68910116,115012.8428497262,0.6589016150681034,52762.25348336705,47400,0.069118947,0.075967759,0.3564328,0.017973633,Selective public,public,4-year,public,3 - Selective,1121.2971,1155.0,7393.4087,3206.3628,0.5850143454154636,10589.998,0.30647621,0.019008823,0.030850995,0.020437011,0.028347135
3760,Virginia Western Community College,Roanoke,VA,66800,28400,11.62115,0.36436686,10.935054,0.0092982827,1.2707789,0.0010805673,0.76972044,1.3218547,903.0,South,0.52823919,0.50122857,78722.09044504429,0.5399703742305746,30292.79050373177,31500,0.13337004,0.15255632,0.13194229,0.00071344507,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,4174.0,1178.0,0.22334455667789,6252.0,,0.022033667,0.098125085,0.0084850146,0.0031476666
1928,Kansas State University,Manhattan,KS,92100,45600,4.2821655,1.329574,29.634115,0.40979254,1.2689818,0.017547995,-0.79834396,-3.991672,3714.333333333334,Midwest,0.48891681,0.69983423,118400.4989083674,0.6712224467656754,54335.87408154222,49100,0.081927471,0.090200402,0.38406122,0.019384913,Selective public,public,4-year,public,5 - Selective,,,9034.0,2781.0,0.6004306367271609,13078.0,0.040899999,0.013368398,0.029640587,0.023887793,0.012327416
6938,Linn-Benton Community College,Eugene,OR,71900,28400,11.065168,0.52187628,11.462402,0.263221,1.2683342,0.029125847,1.1145414,-1.3434597,1113.333333333333,West,0.47574851,0.54723644,83618.1018946482,0.554903006071816,32642.8240363024,34400,0.15474617,0.17122957,0.18636104,0.0023854142,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,4137.0,1710.0,0.1602739726027397,8032.0,,0.030384876,0.0076524871,0.029484583,0.0083277067
10684,Erie Community College,Buffalo,NY,72400,30900,12.134389,0.28572693,10.450539,0.2219619,1.2681091,0.02693372,4.7722468,6.5076194,2363.666666666667,Northeast,0.46425045,0.44441557,79686.81532929065,0.5525767408209448,33811.91746084385,34600,0.11387257,0.1260775,0.17657968,0.0025635352,Two-year (public and private not-for-profit),public,2-year,public,999 - Non-selective,,,4888.0,,0.2373064458048253,3111.0,,,,,
51,University Of Tennessee System,Knoxville,TN,99200,42000,5.9180832,2.2127504,21.427233,1.4398273,1.2680814,0.085210174,0.037666023,-0.77786219,5804.666666666667,South,0.54312623,0.62256122,135382.7507276832,0.6820744827939077,53050.55121059205,45100,0.090933196,0.10174234,0.33505458,0.022363098,Selective public,public,4-year,public,3 - Selective,1124.0182,1085.0,9693.3076,3174.4885,0.5616801378031006,6910.541,0.25387013,0.020699196,0.095595174,0.0099470699,0.015551225
3956,Dalton State College,Rome,GA,63500,29700,11.866969,0.61358273,10.684205,0.0,1.2678913,0.0,4.2810531,9.8854771,719.6666666666666,South,0.57017136,0.5823521,76413.55133308245,0.5135564456498418,32172.40089089278,33600,0.12297367,0.13337259,0.1348435,0.00083412678,Nonselective four-year public,public,4-year,public,999 - Non-selective,,,3355.0,1456.0,0.2327586206896551,4611.0,,0.011475933,0.024226969,0.024864521,0.0089257248
